0, 2044
1, 7140
2, 5099
3, 8699
4, 2560
5, 6627
6, 6249
7, 6043
8, 5666
9, 9008
10, 8129
11, 1614
12, 2564
13, 805
14, 4241
15, 6643
16, 2975
17, 8018
18, 8066
19, 8251
20, 4169
21, 1362
22, 9098
23, 7225
24, 6469
25, 6057
26, 5303
27, 1980
28, 222
29, 7206
30, 9106
31, 5588
32, 2453
33, 7257
34, 9928
35, 0
36, 96
37, 466
38, 2309
39, 6702
40, 2160
41, 8421
42, 6909
43, 6085
44, 4577
45, 7938
46, 4422
47, 8383
48, 2176
49, 5147
50, 8884
51, 8485
52, 3820
53, 3978
54, 4170
55, 4910
56, 8596
57, 7375
58, 8298
59, 806
60, 7789
61, 6141
62, 3125
63, 9847
64, 2815
65, 730
66, 8330
67, 4265
68, 1732
69, 934
70, 1611
71, 1927
72, 2311
73, 3791
74, 1156
75, 8721
76, 560
77, 5590
78, 9549
79, 6253
80, 221
81, 3658
82, 9608
83, 5438
84, 624
85, 2501
86, 7442
87, 5846
88, 7200
89, 7832
90, 8600
91, 1553
92, 6290
93, 1406
94, 5098
95, 5151
96, 3062
97, 6477
98, 4420
99, 1287
100, 3180
101, 4847
102, 5226
103, 8980
104, 8855
105, 5663
106, 8371
107, 9635
108, 1164
109, 7084
110, 6551
111, 6790
112, 4167
113, 4273
114, 95
115, 6925
116, 2811
117, 6552
118, 331
119, 3665
120, 4423
121, 1924
122, 1674
123, 5297
124, 706
125, 3234
126, 6306
127, 8139
128, 7073
129, 7551
130, 2305
131, 2517
132, 4168
133, 7821
134, 9600
135, 7075
136, 4640
137, 1301
138, 2817
139, 7826
140, 7326
141, 4565
142, 5390
143, 439
144, 6583
145, 242
146, 8117
147, 9073
148, 8588
149, 9012
150, 2307
151, 9613
152, 3164
153, 8121
154, 3251
155, 6580
156, 9612
157, 9623
158, 8623
159, 3101
160, 4751
161, 4856
162, 7137
163, 4462
164, 198
165, 2110
166, 1140
167, 1988
168, 8592
169, 3190
170, 299
171, 206
172, 473
173, 7131
174, 3188
175, 3210
176, 1210
